Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,1,+1,뽀뽀는 몇번?💋 | Reacts,8987443,2026.06.07,"#유백합,#kkubi",유백합 kkubi99,"22,600,000",https://img.youtube.com/vi/A7Txnw35rPg/mqdefault.jpg,A7Txnw35rPg
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,2,+5,제대로 부어 주세요 | Reacts,6503106,2026.02.01,"#유백합,#kkubi",유백합 kkubi99,"22,600,000",https://img.youtube.com/vi/EHLs7YsDskc/mqdefault.jpg,EHLs7YsDskc
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,3,+30,젖소 자동 착유기 장착하는 방법,6257711,2026.06.05,"#farming,#skills",FarmQuick,"34,000",https://img.youtube.com/vi/SVm7QNeJMtE/mqdefault.jpg,SVm7QNeJMtE
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,4,-1,개웃긴 약먹는 아기 반응 랭킹 TOP7,5901407,2026.04.28,,랭킹김,"295,000",https://img.youtube.com/vi/FjpLxP6tsj0/mqdefault.jpg,FjpLxP6tsj0
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,5,+14,고장난 우정💚♥️💛 | Reacts,4623098,2026.06.08,"#유백합,#kkubi",유백합 kkubi99,"22,600,000",https://img.youtube.com/vi/9elQXwxFQxI/mqdefault.jpg,9elQXwxFQxI
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,6,+12,축사 안전을 위한 전기울타리 효과와 가축 교육 과정,4339569,2026.06.07,"#farming,#goat",FarmQuick,"34,000",https://img.youtube.com/vi/AHtWYBrHUj4/mqdefault.jpg,AHtWYBrHUj4
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,7,NEW,쩌쩌의 계획ㅋㅋㅋ,4061578,2026.05.08,,쩌쩌의모험,"303,000",https://img.youtube.com/vi/-JSWURyjXf0/mqdefault.jpg,-JSWURyjXf0
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,8,-4,10초 타이머 소정아 가능?,3943303,2026.06.05,"#춤추는곰돌,#춤추는곰돌의랜덤댄스",춤추는곰돌의 랜덤댄스,"3,970,000",https://img.youtube.com/vi/A60s0Lwx5bQ/mqdefault.jpg,A60s0Lwx5bQ
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,9,+4,When he lost his best friend🪨😭,3641039,2026.04.24,"#shorts,#funny",CuRe 구래,"33,600,000",https://img.youtube.com/vi/E64d2eYRHHU/mqdefault.jpg,E64d2eYRHHU
일간,2026-06-10,shorts,한국,엔터테인먼트,조회수 순위,10,+4,가축 분뇨 자동 처리 장치로 우사 청소 노동력 줄이는 방법,3470423,2026.06.05,"#farming,#skills",FarmQuick,"34,000",https://img.youtube.com/vi/GNSdIQlY2Tk/mqdefault.jpg,GNSdIQlY2Tk
