Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Views,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,1,+48,엄마 까투리 | Shorts | 누가 내 케이크 먹었어?!,4069790,2026.06.05,"#까투리,#katuri",엄마 까투리,"1,450,000",https://img.youtube.com/vi/HCLhEh1nSsE/mqdefault.jpg,HCLhEh1nSsE
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,2,+48,진상 학부모 법정에서 참교육하는 김무열,2376177,2026.06.08,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/SVaIqIHwNdw/mqdefault.jpg,SVaIqIHwNdw
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,3,+4,진상 학부모 고소장 먹인 김무열,2191832,2026.06.06,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/63t7MW9EhMk/mqdefault.jpg,63t7MW9EhMk
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,4,+12,촉법소년 제대로 응징하는 김무열,1795696,2026.06.07,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/HVUoRFt2_Xs/mqdefault.jpg,HVUoRFt2_Xs
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,5,-2,촉법소년도 교도소 참교육하는 김무열,1792322,2026.06.06,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/MKfrgU1GGGc/mqdefault.jpg,MKfrgU1GGGc
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,6,-4,촉법소년한테 교도소 참교육 해주는 김무열,1491256,2026.06.07,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/kalkD83f7DQ/mqdefault.jpg,kalkD83f7DQ
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,7,-6,퇴마사 나타 (Ne Zha 1 edit),1478370,2026.01.24,"#movie,#movieedits",𝔇𝔞𝔪𝔞𝔤𝔢𝔡 𝔜,"477,000",https://img.youtube.com/vi/59e1c48SxcE/mqdefault.jpg,59e1c48SxcE
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,8,NEW,최고의 쉐프 이호영을 감동시킨 강성재의 오성잡채,1313079,2026.06.08,"#취사병전설이되다,#박지훈",어도어,"7,380",https://img.youtube.com/vi/aobzWGF9FdM/mqdefault.jpg,aobzWGF9FdM
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,9,NEW,교권국 감독관들 업무 복귀해!,1146889,2026.06.08,#참교육,57초 빌런 - 탐구생활 Villain EP.1,"12,800",https://img.youtube.com/vi/3pyaVMsnYRo/mqdefault.jpg,3pyaVMsnYRo
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,10,NEW,박지훈 없이 사람이 먹는 명순조를 만들어낸 윤동현,1103720,2026.06.09,"#취사병전설이되다,#박지훈",시네마리뷰,"9,450",https://img.youtube.com/vi/gFjqL8ZTiwc/mqdefault.jpg,gFjqL8ZTiwc
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,11,NEW,지구 버그 발견함 ㄷㄷ,1102549,2026.06.09,N/A,쑈옷,"463,000",https://img.youtube.com/vi/lwjAirvc0ms/mqdefault.jpg,lwjAirvc0ms
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,12,+43,대치동엄마들 잡는 교권국,1069401,2026.06.07,#참교육,57초 빌런 - 탐구생활 Villain EP.1,"12,800",https://img.youtube.com/vi/0l03iihEfCs/mqdefault.jpg,0l03iihEfCs
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,13,+84,"어서와, 진상교사는 첨이지?",1064782,2026.06.07,"#참교육드라마,#드라마추천",빽숏,"11,500",https://img.youtube.com/vi/80n5tCcDRAc/mqdefault.jpg,80n5tCcDRAc
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,14,+15,학교 안에서 와이파이가 된 최하층..,987962,2026.06.06,"#참교육,#드라마참교육",얼뚱숏,"15,200",https://img.youtube.com/vi/qYVAGsT6hNo/mqdefault.jpg,qYVAGsT6hNo
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,15,-9,선생 따위가 감히 학부모한테..,981526,2026.06.07,"#참교육,#드라마참교육",라마의드라마,"70,900",https://img.youtube.com/vi/jKcQ3REoxIs/mqdefault.jpg,jKcQ3REoxIs
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,16,+8,진상 학부모 찾아가 참교육하는 김무열,970299,2026.06.06,"#참교육,#김무열",무비포착,"27,799",https://img.youtube.com/vi/r6F3y8tX38I/mqdefault.jpg,r6F3y8tX38I
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,17,+4,시험지유출 학부모 명단공개,891349,2026.06.06,"#참교육,#이성민",57초 빌런 - 탐구생활 Villain EP.1,"12,800",https://img.youtube.com/vi/BKOSc252SI0/mqdefault.jpg,BKOSc252SI0
일간,2026-06-10,shorts,한국,영화/애니메이션,조회수 순위,18,-13,교권보호국 임한림,881195,2026.06.06,"#참교육,#진기주",57초 빌런 - 탐구생활 Villain EP.1,"12,800",https://img.youtube.com/vi/6iXaTDpj7G4/mqdefault.jpg,6iXaTDpj7G4
