Period,Ranking Date,Type,Country,Category,Criteria,Rank,Rank Change,Video Title,Likes,Upload Date,Tags,Channel Name,Subscribers,Thumbnail,Video ID
일간,2026-06-14,shorts,한국,전체,좋아요 순위,1,+4,Oil vs Water (Part 4),307266,2026.06.13,"#Shorts,#Food",DoubleBite,"1,840,000",https://img.youtube.com/vi/QSlcUrZpEBE/mqdefault.jpg,QSlcUrZpEBE
일간,2026-06-14,shorts,한국,전체,좋아요 순위,2,NEW,산책 중 갑자기 피가 철철 뭐야? 왜 다쳤어? 어디가 아파? 가만있어봐 겨울철 동물 비상용 먹거리 열매 맛있냐! 아휴 못살아!,182471,2024.12.26,"#강아지,#댕댕이",권럭키,"126,000",https://img.youtube.com/vi/HsNGG6N8O1g/mqdefault.jpg,HsNGG6N8O1g
일간,2026-06-14,shorts,한국,전체,좋아요 순위,3,NEW,@katseyeworld  is ICONIC🫶,156411,2026.06.14,"#MINJU,#ILLIT",ILLIT,"4,820,000",https://img.youtube.com/vi/Zcnk7jTmHos/mqdefault.jpg,Zcnk7jTmHos
일간,2026-06-14,shorts,한국,동물,좋아요 순위,1,NEW,산책 중 갑자기 피가 철철 뭐야? 왜 다쳤어? 어디가 아파? 가만있어봐 겨울철 동물 비상용 먹거리 열매 맛있냐! 아휴 못살아!,182471,2024.12.26,"#강아지,#댕댕이",권럭키,"126,000",https://img.youtube.com/vi/HsNGG6N8O1g/mqdefault.jpg,HsNGG6N8O1g
일간,2026-06-14,shorts,한국,동물,좋아요 순위,2,0,사납게 덤벼드는 리트리버 참교육 방법 교육,51612,2026.06.07,"#서열1위,#입질",라온이네하우스 Raonine House,"243,000",https://img.youtube.com/vi/VqQavd7jIkk/mqdefault.jpg,VqQavd7jIkk
일간,2026-06-14,shorts,한국,동물,좋아요 순위,3,NEW,집사 장난이 고양이 루틴에 추가되는 과정ㅋ,35784,2026.05.22,"#고양이,#고양이루틴",스트로베리 터틀,"90,200",https://img.youtube.com/vi/6iF8fZg5zM4/mqdefault.jpg,6iF8fZg5zM4
일간,2026-06-14,shorts,한국,음악,좋아요 순위,1,NEW,@katseyeworld  is ICONIC🫶,156411,2026.06.14,"#MINJU,#ILLIT",ILLIT,"4,820,000",https://img.youtube.com/vi/Zcnk7jTmHos/mqdefault.jpg,Zcnk7jTmHos
일간,2026-06-14,shorts,한국,음악,좋아요 순위,2,NEW,"with BTS. To everyone who keeps swimming no matter what, we send our love and support.",142519,2026.06.13,#KEEPSWIMMING,BANGTANTV,"84,800,000",https://img.youtube.com/vi/3ZOFQ33sLBE/mqdefault.jpg,3ZOFQ33sLBE
일간,2026-06-14,shorts,한국,음악,좋아요 순위,3,+35,is ICONIC🪽,126458,2026.06.13,"#IROHA,#ICONICBYMISTAKE",ILLIT,"4,820,000",https://img.youtube.com/vi/iTID_J6rwg0/mqdefault.jpg,iTID_J6rwg0
일간,2026-06-14,shorts,한국,게임,좋아요 순위,1,0,+1 Speed Keyboard Escape 33s👟,41111,2026.06.11,N/A,순록,"2,170,000",https://img.youtube.com/vi/btdfIryeHQ8/mqdefault.jpg,btdfIryeHQ8
일간,2026-06-14,shorts,한국,게임,좋아요 순위,2,4,見れば何年目かすぐ分かる,33711,2026.06.13,N/A,ちょい語,"77,900",https://img.youtube.com/vi/Tun2TNDq3MM/mqdefault.jpg,Tun2TNDq3MM
